id	source_id	target_id	relation_type	weight	metadata_status
relation.0090	topic.deutsche-politik	topic.tagesschau	covered_by	1	generated_seed
relation.0091	topic.us-politik	topic.geopolitik	related_to	1	generated_seed
relation.0092	topic.britische-politik	topic.internationale-beziehungen	related_to	1	generated_seed
relation.0093	topic.franzoesische-politik	topic.europaeische-union	related_to	1	generated_seed
relation.0094	topic.nato	topic.internationale-beziehungen	part_of	1	generated_seed
relation.0095	topic.menschenrechte	topic.internationale-beziehungen	related_to	1	generated_seed
relation.0096	topic.deutsche-wirtschaft	topic.dax-performance	related_to	1	generated_seed
relation.0097	topic.aktienmarkt	topic.dax-performance	includes	1	generated_seed
relation.0098	topic.fintech	topic.finanznachrichten	related_to	1	generated_seed
relation.0099	topic.kryptowaehrung	topic.kryptowaehrungs-nachrichten	covered_by	1	generated_seed
relation.0100	topic.kryptowaehrung	topic.blockchain	related_to	1	generated_seed
relation.0101	topic.sap	topic.deutsche-wirtschaft	related_to	1	generated_seed
relation.0102	topic.siemens	topic.deutsche-ingenieurskunst	related_to	1	generated_seed
relation.0103	topic.automobilindustrie	topic.automobiltechnik	related_to	1	generated_seed
relation.0104	topic.elektronische-musik	topic.kraftwerk	related_to	1	generated_seed
relation.0105	topic.deutscher-hip-hop	topic.rammstein	contrasts_with	1	generated_seed
