id	canonical_name	entity_type	categories	difficulty	summary_short	metadata_status
topic.dark	Dark	media_work_or_topic	media	2	Dark is a film, television, streaming, or media topic for descriptive analysis, recommendations, and cross-media relationships.	generated_seed
topic.nintendo-switch	Nintendo Switch	game_or_gaming_topic	gaming	2	Nintendo Switch is a gaming topic for exploring genres, platforms, studios, design patterns, communities, and related titles.	generated_seed
topic.indie-spiele	Indie-Spiele	game_or_gaming_topic	gaming	2	Indie-Spiele is a gaming topic for exploring genres, platforms, studios, design patterns, communities, and related titles.	generated_seed
topic.strassenkunst	Straßenkunst	art_or_design_topic	art	2	Straßenkunst is included as an art or art-history topic for contextual explanation, comparison, and relation-based exploration.	generated_seed
topic.disney	Disney+	media_work_or_topic	media	2	Disney+ is a film, television, streaming, or media topic for descriptive analysis, recommendations, and cross-media relationships.	generated_seed
topic.gamescom	Gamescom	topic	lifestyle	2	Gamescom is a lifestyle topic for habits, culture, routines, personal interests, and cross-domain learning examples.	generated_seed
topic.elektrofahrzeuge	Elektrofahrzeuge	topic	mobility_transport	2	Elektrofahrzeuge is a mobility or transport topic linking infrastructure, engineering, travel, and industrial change.	generated_seed
topic.meditation	Meditation	health_or_wellbeing_topic	health_wellbeing	2	Meditation is a health or wellbeing topic for descriptive learning about habits, evidence, practice, and personal routines.	generated_seed
topic.kunstgeschichte	Kunstgeschichte	art_or_design_topic	art	2	Kunstgeschichte is included as an art or art-history topic for contextual explanation, comparison, and relation-based exploration.	generated_seed
topic.strategiespiele	Strategiespiele	game_or_gaming_topic	gaming	2	Strategiespiele is a gaming topic for exploring genres, platforms, studios, design patterns, communities, and related titles.	generated_seed
topic.chaos-computer-club	Chaos Computer Club	organization	security_privacy	4	Chaos Computer Club is a security, privacy, or networking topic for defensive analysis, systems understanding, and digital-rights context.	generated_seed
topic.fotografie	Fotografie	topic	lifestyle	2	Fotografie is a lifestyle topic for habits, culture, routines, personal interests, and cross-domain learning examples.	generated_seed
topic.star-wars	Star Wars	media_work_or_topic	media	2	Star Wars is a film, television, streaming, or media topic for descriptive analysis, recommendations, and cross-media relationships.	generated_seed
topic.roadtrips	Roadtrips	travel_topic	travel	2	Roadtrips is a travel topic for destinations, trip styles, logistics, culture, and route-planning exercises.	generated_seed
topic.baldur-s-gate-3	Baldur's Gate 3	game_or_gaming_topic	gaming	2	Baldur's Gate 3 is a gaming topic for exploring genres, platforms, studios, design patterns, communities, and related titles.	generated_seed
topic.berlin	Berlin	place	architecture_places	2	Berlin is an architecture or cultural-place topic for built heritage, museums, cities, design, and historical context.	generated_seed
topic.deutscher-expressionismus	Deutscher Expressionismus	art_or_design_topic	art	2	Deutscher Expressionismus is included as an art or art-history topic for contextual explanation, comparison, and relation-based exploration.	generated_seed
topic.anime	Anime	topic	lifestyle	2	Anime is a lifestyle topic for habits, culture, routines, personal interests, and cross-domain learning examples.	generated_seed
topic.xbox-series-x-s	Xbox Series X/S	game_or_gaming_topic	gaming	2	Xbox Series X/S is a gaming topic for exploring genres, platforms, studios, design patterns, communities, and related titles.	generated_seed
topic.saunakultur	Saunakultur	health_or_wellbeing_topic	health_wellbeing	2	Saunakultur is a health or wellbeing topic for descriptive learning about habits, evidence, practice, and personal routines.	generated_seed
topic.die-alpen	Die Alpen	place	nature_outdoors	2	Die Alpen is an outdoor or nature topic for activities, landscapes, travel, and environmental context.	generated_seed
topic.architektur	Architektur	topic	architecture_places	2	Architektur is an architecture or cultural-place topic for built heritage, museums, cities, design, and historical context.	generated_seed
topic.die-witcher-reihe	Die Witcher-Reihe	game_or_gaming_topic	gaming	2	Die Witcher-Reihe is a gaming topic for exploring genres, platforms, studios, design patterns, communities, and related titles.	generated_seed
topic.mittelmeer	Mittelmeer	place	travel	2	Mittelmeer is a travel topic for destinations, trip styles, logistics, culture, and route-planning exercises.	generated_seed
topic.softwareentwicklung	Softwareentwicklung	technology_topic	software	3	Softwareentwicklung is a software topic for programming, platforms, tooling, architecture, and open technical ecosystems.	generated_seed
topic.data-science	Data Science	technology_topic	data_ai	4	Data Science is a data and AI topic for statistics, modeling, machine learning, scientific computing, and computational workflows.	generated_seed
topic.fantasy-romane	Fantasy-Romane	topic	lifestyle	2	Fantasy-Romane is a lifestyle topic for habits, culture, routines, personal interests, and cross-domain learning examples.	generated_seed
topic.suedostasien	Südostasien	place	travel	2	Südostasien is a travel topic for destinations, trip styles, logistics, culture, and route-planning exercises.	generated_seed
topic.e-sport	E-Sport	topic	gaming	2	E-Sport is a gaming topic for exploring genres, platforms, studios, design patterns, communities, and related titles.	generated_seed
topic.technologie-nachrichten	Technologie-Nachrichten	news_topic_or_source	news_media	2	Technologie-Nachrichten is a news or journalism topic intended for source-aware, time-sensitive, and comparative information workflows.	generated_seed
topic.digitale-kunst	Digitale Kunst	art_or_design_topic	art	2	Digitale Kunst is included as an art or art-history topic for contextual explanation, comparison, and relation-based exploration.	generated_seed
topic.counter-strike	Counter-Strike	game_or_gaming_topic	gaming	2	Counter-Strike is a gaming topic for exploring genres, platforms, studios, design patterns, communities, and related titles.	generated_seed
topic.simulationsspiele	Simulationsspiele	game_or_gaming_topic	gaming	2	Simulationsspiele is a gaming topic for exploring genres, platforms, studios, design patterns, communities, and related titles.	generated_seed
topic.apple	Apple	organization	technology	3	Apple is a technology topic for examining systems, devices, infrastructure, industry, and technical change.	generated_seed
topic.ki-entwicklungen	KI-Entwicklungen	technology_topic	data_ai	4	KI-Entwicklungen is a data and AI topic for statistics, modeling, machine learning, scientific computing, and computational workflows.	generated_seed
topic.cybersicherheit	Cybersicherheit	technology_topic	security_privacy	4	Cybersicherheit is a security, privacy, or networking topic for defensive analysis, systems understanding, and digital-rights context.	generated_seed
topic.league-of-legends	League of Legends	game_or_gaming_topic	gaming	2	League of Legends is a gaming topic for exploring genres, platforms, studios, design patterns, communities, and related titles.	generated_seed
topic.japan	Japan	place	travel	2	Japan is a travel topic for destinations, trip styles, logistics, culture, and route-planning exercises.	generated_seed
topic.schlafwissenschaft	Schlafwissenschaft	health_or_wellbeing_topic	science|health_wellbeing	4	Schlafwissenschaft is a science or research topic for evidence-oriented explanation, models, methods, and interdisciplinary links.	generated_seed
topic.babylon-berlin	Babylon Berlin	media_work_or_topic	media	2	Babylon Berlin is a film, television, streaming, or media topic for descriptive analysis, recommendations, and cross-media relationships.	generated_seed
topic.open-world-spiele	Open-World-Spiele	game_or_gaming_topic	gaming	2	Open-World-Spiele is a gaming topic for exploring genres, platforms, studios, design patterns, communities, and related titles.	generated_seed
topic.ernaehrung	Ernährung	health_or_wellbeing_topic	health_wellbeing	2	Ernährung is a health or wellbeing topic for descriptive learning about habits, evidence, practice, and personal routines.	generated_seed
topic.gerhard-richter	Gerhard Richter	person	art	2	Gerhard Richter is included as an art or art-history topic for contextual explanation, comparison, and relation-based exploration.	generated_seed
topic.us-nationalparks	US-Nationalparks	travel_topic	travel|nature_outdoors	2	US-Nationalparks is a travel topic for destinations, trip styles, logistics, culture, and route-planning exercises.	generated_seed
topic.allein-reisen	Allein reisen	travel_topic	travel|lifestyle	2	Allein reisen is a travel topic for destinations, trip styles, logistics, culture, and route-planning exercises.	generated_seed
topic.stressbewaeltigung	Stressbewältigung	health_or_wellbeing_topic	health_wellbeing	2	Stressbewältigung is a health or wellbeing topic for descriptive learning about habits, evidence, practice, and personal routines.	generated_seed
topic.europaeische-union	Europäische Union	civic_or_political_topic	politics_society	3	Europäische Union is a civic, political, or social topic for neutral, source-aware analysis of institutions, policies, rights, and current developments.	generated_seed
topic.moderne-kunst	Moderne Kunst	art_or_design_topic	art	2	Moderne Kunst is included as an art or art-history topic for contextual explanation, comparison, and relation-based exploration.	generated_seed
topic.anno-reihe	Anno-Reihe	game_or_gaming_topic	gaming	2	Anno-Reihe is a gaming topic for exploring genres, platforms, studios, design patterns, communities, and related titles.	generated_seed
topic.wissenschaftsnachrichten	Wissenschaftsnachrichten	news_topic_or_source	science|news_media	4	Wissenschaftsnachrichten is a science or research topic for evidence-oriented explanation, models, methods, and interdisciplinary links.	generated_seed
topic.waldbaden	Waldbaden	health_or_wellbeing_topic	health_wellbeing|nature_outdoors	2	Waldbaden is a health or wellbeing topic for descriptive learning about habits, evidence, practice, and personal routines.	generated_seed
topic.wirtschaftsnachrichten	Wirtschaftsnachrichten	news_topic_or_source	news_media|economy_finance	3	Wirtschaftsnachrichten is a news or journalism topic intended for source-aware, time-sensitive, and comparative information workflows.	generated_seed
topic.survival-spiele	Survival-Spiele	game_or_gaming_topic	gaming	2	Survival-Spiele is a gaming topic for exploring genres, platforms, studios, design patterns, communities, and related titles.	generated_seed
topic.android	Android	technology_topic	technology	3	Android is a technology topic for examining systems, devices, infrastructure, industry, and technical change.	generated_seed
topic.gadgets	Gadgets	technology_topic	technology	3	Gadgets is a technology topic for examining systems, devices, infrastructure, industry, and technical change.	generated_seed
topic.technologie-fuer-erneuerbare-energien	Technologie für erneuerbare Energien	topic	science	4	Technologie für erneuerbare Energien is a science or research topic for evidence-oriented explanation, models, methods, and interdisciplinary links.	generated_seed
topic.3d-druck	3D-Druck	technology_topic	technology	3	3D-Druck is a technology topic for examining systems, devices, infrastructure, industry, and technical change.	generated_seed
topic.true-crime-dokumentationen	True-Crime-Dokumentationen	media_work_or_topic	media	2	True-Crime-Dokumentationen is a film, television, streaming, or media topic for descriptive analysis, recommendations, and cross-media relationships.	generated_seed
topic.budgetreisen	Budgetreisen	travel_topic	travel	2	Budgetreisen is a travel topic for destinations, trip styles, logistics, culture, and route-planning exercises.	generated_seed
topic.digital-detox	Digital Detox	health_or_wellbeing_topic	health_wellbeing	2	Digital Detox is a health or wellbeing topic for descriptive learning about habits, evidence, practice, and personal routines.	generated_seed
topic.pilates	Pilates	health_or_wellbeing_topic	health_wellbeing	2	Pilates is a health or wellbeing topic for descriptive learning about habits, evidence, practice, and personal routines.	generated_seed
topic.luxusreisen	Luxusreisen	travel_topic	travel	2	Luxusreisen is a travel topic for destinations, trip styles, logistics, culture, and route-planning exercises.	generated_seed
topic.illustration	Illustration	art_or_design_topic	art|design	2	Illustration is included as an art or art-history topic for contextual explanation, comparison, and relation-based exploration.	generated_seed
topic.helldivers-2	Helldivers 2	game_or_gaming_topic	gaming	2	Helldivers 2 is a gaming topic for exploring genres, platforms, studios, design patterns, communities, and related titles.	generated_seed
topic.meal-prep	Meal Prep	health_or_wellbeing_topic	health_wellbeing	2	Meal Prep is a health or wellbeing topic for descriptive learning about habits, evidence, practice, and personal routines.	generated_seed
topic.kreuzfahrten	Kreuzfahrten	travel_topic	travel	2	Kreuzfahrten is a travel topic for destinations, trip styles, logistics, culture, and route-planning exercises.	generated_seed
topic.die-oscars	Die Oscars	media_work_or_topic	media	2	Die Oscars is a film, television, streaming, or media topic for descriptive analysis, recommendations, and cross-media relationships.	generated_seed
topic.journaling	Journaling	topic	lifestyle	2	Journaling is a lifestyle topic for habits, culture, routines, personal interests, and cross-domain learning examples.	generated_seed
topic.virtuelle-realitaet	Virtuelle Realität	technology_topic	technology	3	Virtuelle Realität is a technology topic for examining systems, devices, infrastructure, industry, and technical change.	generated_seed
topic.hydratation	Hydratation	health_or_wellbeing_topic	health_wellbeing	2	Hydratation is a health or wellbeing topic for descriptive learning about habits, evidence, practice, and personal routines.	generated_seed
topic.heise-online	Heise Online	organization	news_media	2	Heise Online is a news or journalism topic intended for source-aware, time-sensitive, and comparative information workflows.	generated_seed
topic.open-source-software	Open-Source-Software	technology_topic	software	3	Open-Source-Software is a software topic for programming, platforms, tooling, architecture, and open technical ecosystems.	generated_seed
topic.wandern	Wandern	topic	nature_outdoors	2	Wandern is an outdoor or nature topic for activities, landscapes, travel, and environmental context.	generated_seed
topic.alte-pinakothek	Alte Pinakothek	place	architecture_places	2	Alte Pinakothek is an architecture or cultural-place topic for built heritage, museums, cities, design, and historical context.	generated_seed
topic.retro-gaming	Retro-Gaming	game_or_gaming_topic	gaming	2	Retro-Gaming is a gaming topic for exploring genres, platforms, studios, design patterns, communities, and related titles.	generated_seed
topic.bundesliga	Bundesliga	topic	lifestyle	2	Bundesliga is a lifestyle topic for habits, culture, routines, personal interests, and cross-domain learning examples.	generated_seed
topic.oktoberfest	Oktoberfest	topic	architecture_places	2	Oktoberfest is an architecture or cultural-place topic for built heritage, museums, cities, design, and historical context.	generated_seed
topic.final-fantasy	Final Fantasy	game_or_gaming_topic	gaming	2	Final Fantasy is a gaming topic for exploring genres, platforms, studios, design patterns, communities, and related titles.	generated_seed
topic.biohacking	Biohacking	health_or_wellbeing_topic	health_wellbeing	2	Biohacking is a health or wellbeing topic for descriptive learning about habits, evidence, practice, and personal routines.	generated_seed
topic.k-pop	K-Pop	topic	music	2	K-Pop is a music topic for artists, genres, scenes, events, sound, and cultural relationships.	generated_seed
topic.crytek	Crytek	organization	gaming	2	Crytek is a gaming topic for exploring genres, platforms, studios, design patterns, communities, and related titles.	generated_seed
topic.kneipp-therapie	Kneipp-Therapie	health_or_wellbeing_topic	health_wellbeing	2	Kneipp-Therapie is a health or wellbeing topic for descriptive learning about habits, evidence, practice, and personal routines.	generated_seed
topic.cloud-computing	Cloud Computing	technology_topic	technology	3	Cloud Computing is a technology topic for examining systems, devices, infrastructure, industry, and technical change.	generated_seed
topic.us-politik	US-Politik	civic_or_political_topic	politics_society	3	US-Politik is a civic, political, or social topic for neutral, source-aware analysis of institutions, policies, rights, and current developments.	generated_seed
topic.klimawandel	Klimawandel	topic	science	4	Klimawandel is a science or research topic for evidence-oriented explanation, models, methods, and interdisciplinary links.	generated_seed
topic.mmorpgs	MMORPGs	topic	gaming	2	MMORPGs is a gaming topic for exploring genres, platforms, studios, design patterns, communities, and related titles.	generated_seed
topic.finanznachrichten	Finanznachrichten	news_topic_or_source	news_media|economy_finance	3	Finanznachrichten is a news or journalism topic intended for source-aware, time-sensitive, and comparative information workflows.	generated_seed
topic.psychologie	Psychologie	health_or_wellbeing_topic	health_wellbeing	2	Psychologie is a health or wellbeing topic for descriptive learning about habits, evidence, practice, and personal routines.	generated_seed
topic.rammstein	Rammstein	topic	music	2	Rammstein is a music topic for artists, genres, scenes, events, sound, and cultural relationships.	generated_seed
topic.world-of-warcraft	World of Warcraft	game_or_gaming_topic	gaming	2	World of Warcraft is a gaming topic for exploring genres, platforms, studios, design patterns, communities, and related titles.	generated_seed
topic.persoenliches-wachstum	Persönliches Wachstum	health_or_wellbeing_topic	health_wellbeing|lifestyle	2	Persönliches Wachstum is a health or wellbeing topic for descriptive learning about habits, evidence, practice, and personal routines.	generated_seed
topic.deutsche-ingenieurskunst	Deutsche Ingenieurskunst	art_or_design_topic	art	2	Deutsche Ingenieurskunst is included as an art or art-history topic for contextual explanation, comparison, and relation-based exploration.	generated_seed
topic.steam-deck	Steam Deck	topic	gaming	2	Steam Deck is a gaming topic for exploring genres, platforms, studios, design patterns, communities, and related titles.	generated_seed
topic.action-abenteuer	Action-Abenteuer	topic	gaming	2	Action-Abenteuer is a gaming topic for exploring genres, platforms, studios, design patterns, communities, and related titles.	generated_seed
topic.zeichnen	Zeichnen	art_or_design_topic	art	2	Zeichnen is included as an art or art-history topic for contextual explanation, comparison, and relation-based exploration.	generated_seed
topic.tagesschau	Tagesschau	organization	news_media	2	Tagesschau is a news or journalism topic intended for source-aware, time-sensitive, and comparative information workflows.	generated_seed
topic.der-spiegel	Der Spiegel	organization	news_media	2	Der Spiegel is a news or journalism topic intended for source-aware, time-sensitive, and comparative information workflows.	generated_seed
topic.gesundheitsnachrichten	Gesundheitsnachrichten	news_topic_or_source	health_wellbeing|news_media	2	Gesundheitsnachrichten is a health or wellbeing topic for descriptive learning about habits, evidence, practice, and personal routines.	generated_seed
topic.abstrakte-kunst	Abstrakte Kunst	art_or_design_topic	art	2	Abstrakte Kunst is included as an art or art-history topic for contextual explanation, comparison, and relation-based exploration.	generated_seed
topic.drohnen	Drohnen	technology_topic	technology	3	Drohnen is a technology topic for examining systems, devices, infrastructure, industry, and technical change.	generated_seed
topic.deutsche-burgen	Deutsche Burgen	topic	architecture_places	2	Deutsche Burgen is an architecture or cultural-place topic for built heritage, museums, cities, design, and historical context.	generated_seed
topic.automobilindustrie	Automobilindustrie	topic	economy_finance|mobility_transport	3	Automobilindustrie is an economy or finance topic for markets, companies, industry, indicators, and data-analysis exercises.	generated_seed
topic.geopolitik	Geopolitik	civic_or_political_topic	politics_society	3	Geopolitik is a civic, political, or social topic for neutral, source-aware analysis of institutions, policies, rights, and current developments.	generated_seed
topic.die-siedler	Die Siedler	game_or_gaming_topic	gaming	2	Die Siedler is a gaming topic for exploring genres, platforms, studios, design patterns, communities, and related titles.	generated_seed
topic.schwarzwald	Schwarzwald	place	nature_outdoors	2	Schwarzwald is an outdoor or nature topic for activities, landscapes, travel, and environmental context.	generated_seed
topic.biotechnologie	Biotechnologie	topic	science	4	Biotechnologie is a science or research topic for evidence-oriented explanation, models, methods, and interdisciplinary links.	generated_seed
topic.fromsoftware	FromSoftware	organization	gaming	2	FromSoftware is a gaming topic for exploring genres, platforms, studios, design patterns, communities, and related titles.	generated_seed
topic.modedesign	Modedesign	art_or_design_topic	design	2	Modedesign is a design topic used to connect visual practice, form, technology, and historical context.	generated_seed
topic.elden-ring	Elden Ring	game_or_gaming_topic	gaming	2	Elden Ring is a gaming topic for exploring genres, platforms, studios, design patterns, communities, and related titles.	generated_seed
topic.documenta	Documenta	art_or_design_topic	art	2	Documenta is included as an art or art-history topic for contextual explanation, comparison, and relation-based exploration.	generated_seed
topic.weltraumforschung	Weltraumforschung	topic	science	4	Weltraumforschung is a science or research topic for evidence-oriented explanation, models, methods, and interdisciplinary links.	generated_seed
topic.videospiel-soundtracks	Videospiel-Soundtracks	game_or_gaming_topic	gaming|music	2	Videospiel-Soundtracks is a gaming topic for exploring genres, platforms, studios, design patterns, communities, and related titles.	generated_seed
topic.fintech	FinTech	topic	economy_finance	3	FinTech is an economy or finance topic for markets, companies, industry, indicators, and data-analysis exercises.	generated_seed
topic.dax-performance	DAX-Performance	topic	economy_finance	3	DAX-Performance is an economy or finance topic for markets, companies, industry, indicators, and data-analysis exercises.	generated_seed
topic.druckgrafik	Druckgrafik	art_or_design_topic	art	2	Druckgrafik is included as an art or art-history topic for contextual explanation, comparison, and relation-based exploration.	generated_seed
topic.thermalbaeder	Thermalbäder	topic	lifestyle	2	Thermalbäder is a lifestyle topic for habits, culture, routines, personal interests, and cross-domain learning examples.	generated_seed
topic.surrealismus	Surrealismus	art_or_design_topic	art	2	Surrealismus is included as an art or art-history topic for contextual explanation, comparison, and relation-based exploration.	generated_seed
topic.kameraregie	Kameraregie	topic	lifestyle	2	Kameraregie is a lifestyle topic for habits, culture, routines, personal interests, and cross-domain learning examples.	generated_seed
topic.caspar-david-friedrich	Caspar David Friedrich	person	art	2	Caspar David Friedrich is included as an art or art-history topic for contextual explanation, comparison, and relation-based exploration.	generated_seed
topic.investigativer-journalismus	Investigativer Journalismus	news_topic_or_source	news_media	2	Investigativer Journalismus is a news or journalism topic intended for source-aware, time-sensitive, and comparative information workflows.	generated_seed
topic.paris	Paris	place	travel	2	Paris is a travel topic for destinations, trip styles, logistics, culture, and route-planning exercises.	generated_seed
topic.laufen	Laufen	health_or_wellbeing_topic	health_wellbeing	2	Laufen is a health or wellbeing topic for descriptive learning about habits, evidence, practice, and personal routines.	generated_seed
topic.vr-gaming	VR-Gaming	game_or_gaming_topic	gaming	2	VR-Gaming is a gaming topic for exploring genres, platforms, studios, design patterns, communities, and related titles.	generated_seed
topic.nachhaltiges-leben	Nachhaltiges Leben	topic	lifestyle	2	Nachhaltiges Leben is a lifestyle topic for habits, culture, routines, personal interests, and cross-domain learning examples.	generated_seed
topic.rom	Rom	place	travel	2	Rom is a travel topic for destinations, trip styles, logistics, culture, and route-planning exercises.	generated_seed
topic.bio-lebensmittel	Bio-Lebensmittel	topic	lifestyle	2	Bio-Lebensmittel is a lifestyle topic for habits, culture, routines, personal interests, and cross-domain learning examples.	generated_seed
topic.wie-man-online-drogen-verkauft-schnell	Wie man online Drogen verkauft (schnell)	media_work_or_topic	media	2	Wie man online Drogen verkauft (schnell) is a film, television, streaming, or media topic for descriptive analysis, recommendations, and cross-media relationships.	generated_seed
topic.amsterdam	Amsterdam	place	travel	2	Amsterdam is a travel topic for destinations, trip styles, logistics, culture, and route-planning exercises.	generated_seed
topic.london	London	place	travel	2	London is a travel topic for destinations, trip styles, logistics, culture, and route-planning exercises.	generated_seed
topic.prag	Prag	place	travel	2	Prag is a travel topic for destinations, trip styles, logistics, culture, and route-planning exercises.	generated_seed
topic.aromatherapie	Aromatherapie	health_or_wellbeing_topic	health_wellbeing	2	Aromatherapie is a health or wellbeing topic for descriptive learning about habits, evidence, practice, and personal routines.	generated_seed
topic.work-life-balance	Work-Life-Balance	health_or_wellbeing_topic	health_wellbeing	2	Work-Life-Balance is a health or wellbeing topic for descriptive learning about habits, evidence, practice, and personal routines.	generated_seed
topic.calisthenics	Calisthenics	health_or_wellbeing_topic	health_wellbeing	2	Calisthenics is a health or wellbeing topic for descriptive learning about habits, evidence, practice, and personal routines.	generated_seed
topic.energiekrise	Energiekrise	topic	lifestyle	2	Energiekrise is a lifestyle topic for habits, culture, routines, personal interests, and cross-domain learning examples.	generated_seed
topic.sap	SAP	organization	technology|economy_finance	3	SAP is a technology topic for examining systems, devices, infrastructure, industry, and technical change.	generated_seed
topic.nachrichten-ueber-prominente	Nachrichten über Prominente	news_topic_or_source	news_media	2	Nachrichten über Prominente is a news or journalism topic intended for source-aware, time-sensitive, and comparative information workflows.	generated_seed
topic.g2-esports	G2 Esports	organization	gaming	2	G2 Esports is a gaming topic for exploring genres, platforms, studios, design patterns, communities, and related titles.	generated_seed
topic.kraeuterkunde	Kräuterkunde	health_or_wellbeing_topic	health_wellbeing	2	Kräuterkunde is a health or wellbeing topic for descriptive learning about habits, evidence, practice, and personal routines.	generated_seed
topic.aktienmarkt	Aktienmarkt	topic	economy_finance	3	Aktienmarkt is an economy or finance topic for markets, companies, industry, indicators, and data-analysis exercises.	generated_seed
topic.wien	Wien	place	travel	2	Wien is a travel topic for destinations, trip styles, logistics, culture, and route-planning exercises.	generated_seed
topic.deutsche-welle	Deutsche Welle	organization	news_media	2	Deutsche Welle is a news or journalism topic intended for source-aware, time-sensitive, and comparative information workflows.	generated_seed
topic.menschenrechte	Menschenrechte	civic_or_political_topic	politics_society	3	Menschenrechte is a civic, political, or social topic for neutral, source-aware analysis of institutions, policies, rights, and current developments.	generated_seed
topic.berlinale	Berlinale	media_work_or_topic	media	2	Berlinale is a film, television, streaming, or media topic for descriptive analysis, recommendations, and cross-media relationships.	generated_seed
topic.keramik	Keramik	art_or_design_topic	art	2	Keramik is included as an art or art-history topic for contextual explanation, comparison, and relation-based exploration.	generated_seed
topic.minecraft	Minecraft	game_or_gaming_topic	gaming	2	Minecraft is a gaming topic for exploring genres, platforms, studios, design patterns, communities, and related titles.	generated_seed
topic.ego-shooter	Ego-Shooter	topic	gaming	2	Ego-Shooter is a gaming topic for exploring genres, platforms, studios, design patterns, communities, and related titles.	generated_seed
topic.renaissance-kunst	Renaissance-Kunst	art_or_design_topic	art	2	Renaissance-Kunst is included as an art or art-history topic for contextual explanation, comparison, and relation-based exploration.	generated_seed
topic.psychische-gesundheit	Psychische Gesundheit	health_or_wellbeing_topic	health_wellbeing	2	Psychische Gesundheit is a health or wellbeing topic for descriptive learning about habits, evidence, practice, and personal routines.	generated_seed
